"parameter","median","ci_low","ci_high","pd","model"
"Intercept",0.016245796,-0.00657949659499999,0.0391386008,0.920125,"erp_differential_object_marking_300_600_midline_itemslope_retfree"
"z_baseline_predictor",0.433640075,0.4228622865,0.44451119525,1,"erp_differential_object_marking_300_600_midline_itemslope_retfree"
"z_recoded_grammaticality",0.00434591015,-0.027821157875,0.03622317425,0.60740625,"erp_differential_object_marking_300_600_midline_itemslope_retfree"
"z_recoded_session",-0.0463787915,-0.08000155815,-0.0128535242,0.996,"erp_differential_object_marking_300_600_midline_itemslope_retfree"
"z_recoded_mini_language",-0.005138538,-0.028241936325,0.017899770375,0.6686875,"erp_differential_object_marking_300_600_midline_itemslope_retfree"
"z_retention",0.0466885235,-0.00138512548499999,0.0945123362,0.97121875,"erp_differential_object_marking_300_600_midline_itemslope_retfree"
"z_recoded_caudality",-0.026299104,-0.036572492375,-0.01585976275,1,"erp_differential_object_marking_300_600_midline_itemslope_retfree"
"z_multilingual_language_diversity",-0.0011396907,-0.0132562365,0.011182146075,0.57025,"erp_differential_object_marking_300_600_midline_itemslope_retfree"
"z_recoded_grammaticality:z_recoded_session",0.013222089,-0.0063274664925,0.032489238875,0.90775,"erp_differential_object_marking_300_600_midline_itemslope_retfree"
"z_recoded_grammaticality:z_recoded_mini_language",-0.0084008847,-0.040470371325,0.0238003743999999,0.70025,"erp_differential_object_marking_300_600_midline_itemslope_retfree"
"z_recoded_session:z_recoded_mini_language",0.00609053335,-0.028346845225,0.0402532572999999,0.63625,"erp_differential_object_marking_300_600_midline_itemslope_retfree"
"z_recoded_grammaticality:z_retention",-0.0422845155,-0.087679998775,0.00374299605999995,0.96453125,"erp_differential_object_marking_300_600_midline_itemslope_retfree"
"z_recoded_mini_language:z_retention",-0.00799406625,-0.0555698445,0.0394974062249999,0.62871875,"erp_differential_object_marking_300_600_midline_itemslope_retfree"
"z_recoded_grammaticality:z_recoded_caudality",-0.0039933004,-0.014427540325,0.00653340064249999,0.771,"erp_differential_object_marking_300_600_midline_itemslope_retfree"
"z_recoded_grammaticality:z_recoded_session:z_recoded_mini_language",0.0270768,0.00788234076,0.0459787508,0.99725,"erp_differential_object_marking_300_600_midline_itemslope_retfree"
"z_recoded_grammaticality:z_recoded_mini_language:z_retention",-0.090881934,-0.13557387775,-0.04607363865,1,"erp_differential_object_marking_300_600_midline_itemslope_retfree"
"Intercept",0.00268462465,-0.01551690505,0.0207677014,0.61475,"erp_differential_object_marking_300_600_midline_itemslope"
"z_baseline_predictor",0.43320584,0.422285131,0.4441491015,1,"erp_differential_object_marking_300_600_midline_itemslope"
"z_recoded_grammaticality",0.016506513,-0.013573651925,0.04669188725,0.86209375,"erp_differential_object_marking_300_600_midline_itemslope"
"z_recoded_session",-0.0310069665,-0.0613207544,-0.00119194518500001,0.9790625,"erp_differential_object_marking_300_600_midline_itemslope"
"z_recoded_mini_language",-0.00337339315,-0.02169566875,0.015077954625,0.63875,"erp_differential_object_marking_300_600_midline_itemslope"
"z_recoded_caudality",-0.026283198,-0.036943058575,-0.015666737925,1,"erp_differential_object_marking_300_600_midline_itemslope"
"z_multilingual_language_diversity",-0.000982734055,-0.013047983525,0.011086882575,0.56159375,"erp_differential_object_marking_300_600_midline_itemslope"
"z_recoded_grammaticality:z_recoded_session",-0.00119695015,-0.012511269175,0.010033182075,0.583875,"erp_differential_object_marking_300_600_midline_itemslope"
"z_recoded_grammaticality:z_recoded_mini_language",0.016096026,-0.0148006358,0.046183308875,0.8528125,"erp_differential_object_marking_300_600_midline_itemslope"
"z_recoded_session:z_recoded_mini_language",0.0036660617,-0.02653003465,0.033787486425,0.5961875,"erp_differential_object_marking_300_600_midline_itemslope"
"z_recoded_grammaticality:z_recoded_caudality",-0.00397146065,-0.0144187128,0.0065183981625,0.77090625,"erp_differential_object_marking_300_600_midline_itemslope"
"z_recoded_grammaticality:z_recoded_session:z_recoded_mini_language",-0.003993351,-0.015311264825,0.007293125165,0.75296875,"erp_differential_object_marking_300_600_midline_itemslope"
"Intercept",0.015424248,-0.007228733725,0.038174691825,0.90528125,"erp_differential_object_marking_300_600_midline_retfree"
"z_baseline_predictor",0.43496299,0.42405036425,0.44577967575,1,"erp_differential_object_marking_300_600_midline_retfree"
"z_recoded_grammaticality",0.00588960185,-0.0237006165,0.035149273,0.65334375,"erp_differential_object_marking_300_600_midline_retfree"
"z_recoded_session",-0.04490042,-0.078440696175,-0.011528876525,0.9959375,"erp_differential_object_marking_300_600_midline_retfree"
"z_recoded_mini_language",-0.00346791245,-0.026448707925,0.01965686435,0.61421875,"erp_differential_object_marking_300_600_midline_retfree"
"z_retention",0.0449470025,-0.00299305424249998,0.092250401625,0.96678125,"erp_differential_object_marking_300_600_midline_retfree"
"z_recoded_caudality",-0.026378925,-0.0369370565,-0.0158026511,1,"erp_differential_object_marking_300_600_midline_retfree"
"z_multilingual_language_diversity",-0.0020835084,-0.0139582465,0.00980254869749998,0.6318125,"erp_differential_object_marking_300_600_midline_retfree"
"z_recoded_grammaticality:z_recoded_session",0.012921409,-0.006457383885,0.032416829975,0.90321875,"erp_differential_object_marking_300_600_midline_retfree"
"z_recoded_grammaticality:z_recoded_mini_language",-0.0084857008,-0.038035064225,0.021678051525,0.71159375,"erp_differential_object_marking_300_600_midline_retfree"
"z_recoded_session:z_recoded_mini_language",0.00548639775,-0.02819038065,0.0391266017749999,0.6245,"erp_differential_object_marking_300_600_midline_retfree"
"z_recoded_grammaticality:z_retention",-0.040478374,-0.085628982925,0.00533835336499997,0.9586875,"erp_differential_object_marking_300_600_midline_retfree"
"z_recoded_mini_language:z_retention",-0.0053960719,-0.05253893865,0.041455398325,0.58878125,"erp_differential_object_marking_300_600_midline_retfree"
"z_recoded_grammaticality:z_recoded_caudality",-0.0039583787,-0.0145011859,0.006541941495,0.76925,"erp_differential_object_marking_300_600_midline_retfree"
"z_recoded_grammaticality:z_recoded_session:z_recoded_mini_language",0.027813742,0.0086410306525,0.047077669525,0.99778125,"erp_differential_object_marking_300_600_midline_retfree"
"z_recoded_grammaticality:z_recoded_mini_language:z_retention",-0.089838776,-0.135192706,-0.0443968674250001,0.999875,"erp_differential_object_marking_300_600_midline_retfree"
"Intercept",0.0025131513,-0.01560964095,0.02035477725,0.60553125,"erp_differential_object_marking_300_600_midline"
"z_baseline_predictor",0.434539515,0.42362241125,0.4454271095,1,"erp_differential_object_marking_300_600_midline"
"z_recoded_grammaticality",0.0178034775,-0.00877141374749999,0.0451783975,0.90196875,"erp_differential_object_marking_300_600_midline"
"z_recoded_session",-0.0301898725,-0.060155911325,-0.000538606820500002,0.976875,"erp_differential_object_marking_300_600_midline"
"z_recoded_mini_language",-0.00241656735,-0.0205856432,0.016054968825,0.59890625,"erp_differential_object_marking_300_600_midline"
"z_recoded_caudality",-0.026323895,-0.036669376475,-0.015878863,1,"erp_differential_object_marking_300_600_midline"
"z_multilingual_language_diversity",-0.0020035609,-0.014007875575,0.00975949872499999,0.62709375,"erp_differential_object_marking_300_600_midline"
"z_recoded_grammaticality:z_recoded_session",-0.000692596115,-0.01219541205,0.01084372375,0.545875,"erp_differential_object_marking_300_600_midline"
"z_recoded_grammaticality:z_recoded_mini_language",0.0159876115,-0.01149456395,0.043295446375,0.87403125,"erp_differential_object_marking_300_600_midline"
"z_recoded_session:z_recoded_mini_language",0.00380768245,-0.026217345375,0.033463914125,0.60046875,"erp_differential_object_marking_300_600_midline"
"z_recoded_grammaticality:z_recoded_caudality",-0.00396556065,-0.0146214503,0.00661496037749999,0.7714375,"erp_differential_object_marking_300_600_midline"
"z_recoded_grammaticality:z_recoded_session:z_recoded_mini_language",-0.0029322624,-0.01434791805,0.008483609235,0.6983125,"erp_differential_object_marking_300_600_midline"
"Intercept",0.0027324905,-0.015648312325,0.020779832775,0.6135,"erp_differential_object_marking_300_600_midline_weakprior_itemslope"
"z_baseline_predictor",0.43327007,0.42246011775,0.44419603225,1,"erp_differential_object_marking_300_600_midline_weakprior_itemslope"
"z_recoded_grammaticality",0.0166635495,-0.013628385275,0.0465030604,0.8644375,"erp_differential_object_marking_300_600_midline_weakprior_itemslope"
"z_recoded_session",-0.031030052,-0.06148046375,-0.00122875063500001,0.97871875,"erp_differential_object_marking_300_600_midline_weakprior_itemslope"
"z_recoded_mini_language",-0.00334114875,-0.021876682025,0.015052297525,0.64,"erp_differential_object_marking_300_600_midline_weakprior_itemslope"
"z_recoded_caudality",-0.026313459,-0.0366859731,-0.015896974,1,"erp_differential_object_marking_300_600_midline_weakprior_itemslope"
"z_multilingual_language_diversity",-0.000999264035,-0.013048716725,0.010967171375,0.56540625,"erp_differential_object_marking_300_600_midline_weakprior_itemslope"
"z_recoded_grammaticality:z_recoded_session",-0.0011940139,-0.0126150991,0.010072606775,0.58378125,"erp_differential_object_marking_300_600_midline_weakprior_itemslope"
"z_recoded_grammaticality:z_recoded_mini_language",0.016118246,-0.0139715825,0.04589788835,0.8554375,"erp_differential_object_marking_300_600_midline_weakprior_itemslope"
"z_recoded_session:z_recoded_mini_language",0.00372229445,-0.026171025925,0.033869730725,0.59921875,"erp_differential_object_marking_300_600_midline_weakprior_itemslope"
"z_recoded_grammaticality:z_recoded_caudality",-0.00394249065,-0.01433072285,0.006558899415,0.76903125,"erp_differential_object_marking_300_600_midline_weakprior_itemslope"
"z_recoded_grammaticality:z_recoded_session:z_recoded_mini_language",-0.00392664355,-0.015256332775,0.00742078841499997,0.7541875,"erp_differential_object_marking_300_600_midline_weakprior_itemslope"
"Intercept",0.00243532885,-0.015414081875,0.020585861375,0.60759375,"erp_differential_object_marking_300_600_midline_weakprior"
"z_baseline_predictor",0.434627135,0.4236851775,0.44551037725,1,"erp_differential_object_marking_300_600_midline_weakprior"
"z_recoded_grammaticality",0.017691744,-0.0094935386725,0.04509243745,0.89834375,"erp_differential_object_marking_300_600_midline_weakprior"
"z_recoded_session",-0.0301086135,-0.060214209775,0.000320987128249999,0.974,"erp_differential_object_marking_300_600_midline_weakprior"
"z_recoded_mini_language",-0.00251147715,-0.020739624425,0.015994854375,0.60740625,"erp_differential_object_marking_300_600_midline_weakprior"
"z_recoded_caudality",-0.026292028,-0.036779013875,-0.01586532515,1,"erp_differential_object_marking_300_600_midline_weakprior"
"z_multilingual_language_diversity",-0.0019272024,-0.01382565705,0.0100078787,0.624375,"erp_differential_object_marking_300_600_midline_weakprior"
"z_recoded_grammaticality:z_recoded_session",-0.00064547611,-0.012083721125,0.01069707155,0.5448125,"erp_differential_object_marking_300_600_midline_weakprior"
"z_recoded_grammaticality:z_recoded_mini_language",0.0156141525,-0.01185939055,0.0430632324749999,0.87075,"erp_differential_object_marking_300_600_midline_weakprior"
"z_recoded_session:z_recoded_mini_language",0.00370030105,-0.02605738445,0.033463408625,0.59621875,"erp_differential_object_marking_300_600_midline_weakprior"
"z_recoded_grammaticality:z_recoded_caudality",-0.00395902655,-0.0145349179,0.00644024951,0.77259375,"erp_differential_object_marking_300_600_midline_weakprior"
"z_recoded_grammaticality:z_recoded_session:z_recoded_mini_language",-0.0029656764,-0.01434368685,0.00851381955499994,0.69421875,"erp_differential_object_marking_300_600_midline_weakprior"
"Intercept",-0.019178515,-0.042568127125,0.0034501250775,0.9526875,"erp_differential_object_marking_400_900_lateral_itemslope_retfree"
"z_baseline_predictor",0.40249544,0.3947673725,0.41039571225,1,"erp_differential_object_marking_400_900_lateral_itemslope_retfree"
"z_recoded_grammaticality",-0.013153906,-0.041728458275,0.015589992825,0.816,"erp_differential_object_marking_400_900_lateral_itemslope_retfree"
"z_recoded_session",-0.00085937656,-0.03690857045,0.035506565775,0.5185,"erp_differential_object_marking_400_900_lateral_itemslope_retfree"
"z_recoded_mini_language",-0.027774015,-0.0510002833,-0.00488845628250002,0.991875,"erp_differential_object_marking_400_900_lateral_itemslope_retfree"
"z_retention",-0.0650826985,-0.10220954525,-0.027994225025,0.99971875,"erp_differential_object_marking_400_900_lateral_itemslope_retfree"
"z_recoded_hemisphere",-0.00501600655,-0.012516966775,0.00249979144,0.903375,"erp_differential_object_marking_400_900_lateral_itemslope_retfree"
"z_recoded_caudality",0.0485038025,0.040902827475,0.056048066725,1,"erp_differential_object_marking_400_900_lateral_itemslope_retfree"
"z_multilingual_language_diversity",0.010177344,-0.001059620025,0.02162514005,0.962125,"erp_differential_object_marking_400_900_lateral_itemslope_retfree"
"z_recoded_grammaticality:z_recoded_session",-0.000198956775,-0.0143648453,0.013649203375,0.5121875,"erp_differential_object_marking_400_900_lateral_itemslope_retfree"
"z_recoded_grammaticality:z_recoded_mini_language",0.0097802146,-0.019074240225,0.039158992875,0.745,"erp_differential_object_marking_400_900_lateral_itemslope_retfree"
"z_recoded_session:z_recoded_mini_language",0.01663514,-0.019635832,0.0529555467,0.817375,"erp_differential_object_marking_400_900_lateral_itemslope_retfree"
"z_recoded_grammaticality:z_retention",0.014769159,-0.0178130891,0.047814928475,0.813,"erp_differential_object_marking_400_900_lateral_itemslope_retfree"
"z_recoded_mini_language:z_retention",-0.062860059,-0.100290904,-0.025788269375,0.99946875,"erp_differential_object_marking_400_900_lateral_itemslope_retfree"
"z_recoded_grammaticality:z_recoded_hemisphere",0.0193240625,0.011833454475,0.026801727475,1,"erp_differential_object_marking_400_900_lateral_itemslope_retfree"
"z_recoded_grammaticality:z_recoded_caudality",0.00428902065,-0.0032006353175,0.011749576075,0.8685,"erp_differential_object_marking_400_900_lateral_itemslope_retfree"
"z_recoded_grammaticality:z_recoded_session:z_recoded_mini_language",-0.00381591705,-0.0179373301,0.00992895218999999,0.70528125,"erp_differential_object_marking_400_900_lateral_itemslope_retfree"
"z_recoded_grammaticality:z_recoded_mini_language:z_retention",-0.0223034115,-0.05469271935,0.0108723098,0.90840625,"erp_differential_object_marking_400_900_lateral_itemslope_retfree"
"Intercept",0.00238644525,-0.016231043625,0.02105607375,0.59796875,"erp_differential_object_marking_400_900_lateral_itemslope"
"z_baseline_predictor",0.402751075,0.39496291075,0.41055584325,1,"erp_differential_object_marking_400_900_lateral_itemslope"
"z_recoded_grammaticality",-0.0168396725,-0.044690899525,0.011342853075,0.88228125,"erp_differential_object_marking_400_900_lateral_itemslope"
"z_recoded_session",-0.019084526,-0.052808181975,0.014268828375,0.8689375,"erp_differential_object_marking_400_900_lateral_itemslope"
"z_recoded_mini_language",-0.0064267618,-0.025351652625,0.01262315185,0.74734375,"erp_differential_object_marking_400_900_lateral_itemslope"
"z_recoded_hemisphere",-0.00500777185,-0.012465270725,0.0025684122775,0.90171875,"erp_differential_object_marking_400_900_lateral_itemslope"
"z_recoded_caudality",0.048513109,0.040975093125,0.0558865606,1,"erp_differential_object_marking_400_900_lateral_itemslope"
"z_multilingual_language_diversity",0.00802048415,-0.003039137785,0.018826740625,0.92525,"erp_differential_object_marking_400_900_lateral_itemslope"
"z_recoded_grammaticality:z_recoded_session",0.0049166636,-0.0032383887525,0.0132632619,0.87878125,"erp_differential_object_marking_400_900_lateral_itemslope"
"z_recoded_grammaticality:z_recoded_mini_language",0.0149472785,-0.01254968175,0.042851409775,0.85925,"erp_differential_object_marking_400_900_lateral_itemslope"
"z_recoded_session:z_recoded_mini_language",-0.0010202851,-0.03435701695,0.032793036975,0.524,"erp_differential_object_marking_400_900_lateral_itemslope"
"z_recoded_grammaticality:z_recoded_hemisphere",0.0193666785,0.011886360925,0.02685874665,1,"erp_differential_object_marking_400_900_lateral_itemslope"
"z_recoded_grammaticality:z_recoded_caudality",0.0042866482,-0.00315531093,0.0117812766,0.86825,"erp_differential_object_marking_400_900_lateral_itemslope"
"z_recoded_grammaticality:z_recoded_session:z_recoded_mini_language",-0.0114292685,-0.019611679,-0.00315019444,0.99678125,"erp_differential_object_marking_400_900_lateral_itemslope"
"Intercept",-0.0192983375,-0.042276109675,0.00336484940999999,0.95309375,"erp_differential_object_marking_400_900_lateral_retfree"
"z_baseline_predictor",0.403981885,0.39616146825,0.41176329875,1,"erp_differential_object_marking_400_900_lateral_retfree"
"z_recoded_grammaticality",-0.0137170815,-0.04038459215,0.013112996775,0.84740625,"erp_differential_object_marking_400_900_lateral_retfree"
"z_recoded_session",-0.000694433615,-0.036038059725,0.034960295425,0.51675,"erp_differential_object_marking_400_900_lateral_retfree"
"z_recoded_mini_language",-0.0257426885,-0.04913556465,-0.002954559705,0.98659375,"erp_differential_object_marking_400_900_lateral_retfree"
"z_retention",-0.0651891055,-0.102161005,-0.0284448889,0.99959375,"erp_differential_object_marking_400_900_lateral_retfree"
"z_recoded_hemisphere",-0.0049808047,-0.01249094005,0.00262299766249999,0.89915625,"erp_differential_object_marking_400_900_lateral_retfree"
"z_recoded_caudality",0.0484361785,0.0410060661,0.055868371825,1,"erp_differential_object_marking_400_900_lateral_retfree"
"z_multilingual_language_diversity",0.00907715055,-0.0024578062825,0.020612969525,0.939875,"erp_differential_object_marking_400_900_lateral_retfree"
"z_recoded_grammaticality:z_recoded_session",-0.000618668035,-0.01464309145,0.013314463925,0.53325,"erp_differential_object_marking_400_900_lateral_retfree"
"z_recoded_grammaticality:z_recoded_mini_language",0.00966697555,-0.016572864825,0.03637614065,0.7685625,"erp_differential_object_marking_400_900_lateral_retfree"
"z_recoded_session:z_recoded_mini_language",0.0166928955,-0.01874189705,0.052611549125,0.82346875,"erp_differential_object_marking_400_900_lateral_retfree"
"z_recoded_grammaticality:z_retention",0.0150513985,-0.0177231461,0.047876040425,0.817,"erp_differential_object_marking_400_900_lateral_retfree"
"z_recoded_mini_language:z_retention",-0.061523324,-0.0984681546,-0.024459947425,0.99940625,"erp_differential_object_marking_400_900_lateral_retfree"
"z_recoded_grammaticality:z_recoded_hemisphere",0.019375011,0.0118388007,0.0269042322,1,"erp_differential_object_marking_400_900_lateral_retfree"
"z_recoded_grammaticality:z_recoded_caudality",0.0042876935,-0.0032886459,0.011895181325,0.865375,"erp_differential_object_marking_400_900_lateral_retfree"
"z_recoded_grammaticality:z_recoded_session:z_recoded_mini_language",-0.0029508566,-0.017036273025,0.011042682825,0.663625,"erp_differential_object_marking_400_900_lateral_retfree"
"z_recoded_grammaticality:z_recoded_mini_language:z_retention",-0.0226033535,-0.055398939575,0.0102475385749999,0.91078125,"erp_differential_object_marking_400_900_lateral_retfree"
"Intercept",0.0021120791,-0.016508945725,0.020784821725,0.58709375,"erp_differential_object_marking_400_900_lateral"
"z_baseline_predictor",0.40421451,0.39624911275,0.41203841275,1,"erp_differential_object_marking_400_900_lateral"
"z_recoded_grammaticality",-0.0177393765,-0.0428060728,0.00743632041749999,0.9190625,"erp_differential_object_marking_400_900_lateral"
"z_recoded_session",-0.018700301,-0.0519361699,0.013759639475,0.87125,"erp_differential_object_marking_400_900_lateral"
"z_recoded_mini_language",-0.0045905989,-0.023593884925,0.013903640575,0.6840625,"erp_differential_object_marking_400_900_lateral"
"z_recoded_hemisphere",-0.0049422189,-0.0123985087,0.002570275825,0.89915625,"erp_differential_object_marking_400_900_lateral"
"z_recoded_caudality",0.0484448445,0.04098808005,0.056013293,1,"erp_differential_object_marking_400_900_lateral"
"z_multilingual_language_diversity",0.0068338626,-0.00440078239249999,0.018121696925,0.88484375,"erp_differential_object_marking_400_900_lateral"
"z_recoded_grammaticality:z_recoded_session",0.00461566745,-0.003649679795,0.012907451075,0.86296875,"erp_differential_object_marking_400_900_lateral"
"z_recoded_grammaticality:z_recoded_mini_language",0.0153451015,-0.00923478448499998,0.04036543405,0.89215625,"erp_differential_object_marking_400_900_lateral"
"z_recoded_session:z_recoded_mini_language",-0.00027264396,-0.033106562775,0.03277376905,0.5065625,"erp_differential_object_marking_400_900_lateral"
"z_recoded_grammaticality:z_recoded_hemisphere",0.0193324065,0.0117397037,0.0269580156,1,"erp_differential_object_marking_400_900_lateral"
"z_recoded_grammaticality:z_recoded_caudality",0.00430121795,-0.0033729771575,0.0119268904,0.865375,"erp_differential_object_marking_400_900_lateral"
"z_recoded_grammaticality:z_recoded_session:z_recoded_mini_language",-0.010673904,-0.01905966495,-0.002227279245,0.99321875,"erp_differential_object_marking_400_900_lateral"
"Intercept",0.00234948285,-0.016486842,0.02125165965,0.598,"erp_differential_object_marking_400_900_lateral_weakprior_itemslope"
"z_baseline_predictor",0.40276034,0.394990547,0.41057842975,1,"erp_differential_object_marking_400_900_lateral_weakprior_itemslope"
"z_recoded_grammaticality",-0.016580001,-0.044237581025,0.011132271075,0.88196875,"erp_differential_object_marking_400_900_lateral_weakprior_itemslope"
"z_recoded_session",-0.0192541155,-0.05216511875,0.014442125975,0.87053125,"erp_differential_object_marking_400_900_lateral_weakprior_itemslope"
"z_recoded_mini_language",-0.00621832475,-0.0255945663,0.01270218135,0.74340625,"erp_differential_object_marking_400_900_lateral_weakprior_itemslope"
"z_recoded_hemisphere",-0.00499410685,-0.01250371335,0.0025077635875,0.90315625,"erp_differential_object_marking_400_900_lateral_weakprior_itemslope"
"z_recoded_caudality",0.048513735,0.040915115825,0.056032479,1,"erp_differential_object_marking_400_900_lateral_weakprior_itemslope"
"z_multilingual_language_diversity",0.0079478429,-0.00290620895999999,0.018739566475,0.92365625,"erp_differential_object_marking_400_900_lateral_weakprior_itemslope"
"z_recoded_grammaticality:z_recoded_session",0.0049751068,-0.0033169201225,0.0131594098,0.8816875,"erp_differential_object_marking_400_900_lateral_weakprior_itemslope"
"z_recoded_grammaticality:z_recoded_mini_language",0.015090154,-0.012754834425,0.04243286535,0.85778125,"erp_differential_object_marking_400_900_lateral_weakprior_itemslope"
"z_recoded_session:z_recoded_mini_language",-0.000952539125,-0.03443647025,0.032781091025,0.523375,"erp_differential_object_marking_400_900_lateral_weakprior_itemslope"
"z_recoded_grammaticality:z_recoded_hemisphere",0.019315525,0.011832870425,0.026966640075,1,"erp_differential_object_marking_400_900_lateral_weakprior_itemslope"
"z_recoded_grammaticality:z_recoded_caudality",0.00423214105,-0.0032769168025,0.011806559025,0.8633125,"erp_differential_object_marking_400_900_lateral_weakprior_itemslope"
"z_recoded_grammaticality:z_recoded_session:z_recoded_mini_language",-0.0114076655,-0.019701904625,-0.00317764361000001,0.9965,"erp_differential_object_marking_400_900_lateral_weakprior_itemslope"
"Intercept",0.00217522465,-0.0166368908,0.020873751225,0.58915625,"erp_differential_object_marking_400_900_lateral_weakprior"
"z_baseline_predictor",0.40418818,0.3962801175,0.41200768575,1,"erp_differential_object_marking_400_900_lateral_weakprior"
"z_recoded_grammaticality",-0.0173472115,-0.04204848085,0.00749351799249999,0.91615625,"erp_differential_object_marking_400_900_lateral_weakprior"
"z_recoded_session",-0.0185602955,-0.051632028675,0.013524516375,0.871625,"erp_differential_object_marking_400_900_lateral_weakprior"
"z_recoded_mini_language",-0.0048080431,-0.02370206945,0.014162213575,0.69103125,"erp_differential_object_marking_400_900_lateral_weakprior"
"z_recoded_hemisphere",-0.0049757997,-0.01253794055,0.0026351752475,0.8958125,"erp_differential_object_marking_400_900_lateral_weakprior"
"z_recoded_caudality",0.0484642475,0.0407658835,0.056128171025,1,"erp_differential_object_marking_400_900_lateral_weakprior"
"z_multilingual_language_diversity",0.0068436243,-0.0042832261375,0.018011785975,0.88975,"erp_differential_object_marking_400_900_lateral_weakprior"
"z_recoded_grammaticality:z_recoded_session",0.00463404425,-0.00355273448,0.01293770705,0.86553125,"erp_differential_object_marking_400_900_lateral_weakprior"
"z_recoded_grammaticality:z_recoded_mini_language",0.0151869115,-0.00955792035499998,0.03988550905,0.88790625,"erp_differential_object_marking_400_900_lateral_weakprior"
"z_recoded_session:z_recoded_mini_language",-0.00041928726,-0.033150869475,0.0324677841249999,0.51059375,"erp_differential_object_marking_400_900_lateral_weakprior"
"z_recoded_grammaticality:z_recoded_hemisphere",0.0193895195,0.011892711625,0.026878725425,1,"erp_differential_object_marking_400_900_lateral_weakprior"
"z_recoded_grammaticality:z_recoded_caudality",0.0042952131,-0.00324781707,0.011830020125,0.86721875,"erp_differential_object_marking_400_900_lateral_weakprior"
"z_recoded_grammaticality:z_recoded_session:z_recoded_mini_language",-0.0106377885,-0.018760766275,-0.002501686215,0.9951875,"erp_differential_object_marking_400_900_lateral_weakprior"
"Intercept",-0.0204700165,-0.046530110675,0.00458475246499999,0.94465625,"erp_differential_object_marking_400_900_midline_itemslope_retfree"
"z_baseline_predictor",0.364673855,0.3536689215,0.3755808925,1,"erp_differential_object_marking_400_900_midline_itemslope_retfree"
"z_recoded_grammaticality",-0.020649265,-0.054330818475,0.01230729605,0.89075,"erp_differential_object_marking_400_900_midline_itemslope_retfree"
"z_recoded_session",0.011694204,-0.0278179019,0.051447239625,0.7218125,"erp_differential_object_marking_400_900_midline_itemslope_retfree"
"z_recoded_mini_language",-0.019499152,-0.045995996475,0.0062287603275,0.93065625,"erp_differential_object_marking_400_900_midline_itemslope_retfree"
"z_retention",-0.0836274915,-0.13432511625,-0.03337510955,0.9994375,"erp_differential_object_marking_400_900_midline_itemslope_retfree"
"z_recoded_caudality",0.028789649,0.018018119625,0.039505131425,1,"erp_differential_object_marking_400_900_midline_itemslope_retfree"
"z_multilingual_language_diversity",0.00787056775,-0.005795010555,0.0219953775,0.87121875,"erp_differential_object_marking_400_900_midline_itemslope_retfree"
"z_recoded_grammaticality:z_recoded_session",-0.0027282829,-0.022479255625,0.016715500425,0.609625,"erp_differential_object_marking_400_900_midline_itemslope_retfree"
"z_recoded_grammaticality:z_recoded_mini_language",0.0016483109,-0.031271018875,0.035041551075,0.5401875,"erp_differential_object_marking_400_900_midline_itemslope_retfree"
"z_recoded_session:z_recoded_mini_language",0.0011737835,-0.038149602725,0.04051145515,0.5226875,"erp_differential_object_marking_400_900_midline_itemslope_retfree"
"z_recoded_grammaticality:z_retention",0.00243157385,-0.043553684975,0.0486868752,0.540625,"erp_differential_object_marking_400_900_midline_itemslope_retfree"
"z_recoded_mini_language:z_retention",-0.038617804,-0.09026946165,0.011633957625,0.93309375,"erp_differential_object_marking_400_900_midline_itemslope_retfree"
"z_recoded_grammaticality:z_recoded_caudality",-0.0061004076,-0.016820709475,0.00477130833999999,0.86540625,"erp_differential_object_marking_400_900_midline_itemslope_retfree"
"z_recoded_grammaticality:z_recoded_session:z_recoded_mini_language",0.0203633975,0.000526005269500015,0.04036619335,0.977875,"erp_differential_object_marking_400_900_midline_itemslope_retfree"
"z_recoded_grammaticality:z_recoded_mini_language:z_retention",-0.078563563,-0.12533184475,-0.0316434848,0.99946875,"erp_differential_object_marking_400_900_midline_itemslope_retfree"
"Intercept",0.0052424932,-0.01445344795,0.024875033925,0.69825,"erp_differential_object_marking_400_900_midline_itemslope"
"z_baseline_predictor",0.365070195,0.35367328,0.37627365625,1,"erp_differential_object_marking_400_900_midline_itemslope"
"z_recoded_grammaticality",-0.020591171,-0.0509506452,0.01050339945,0.9063125,"erp_differential_object_marking_400_900_midline_itemslope"
"z_recoded_session",-0.013147418,-0.0485967785,0.022738887725,0.7670625,"erp_differential_object_marking_400_900_midline_itemslope"
"z_recoded_mini_language",-0.0058407254,-0.0257087635,0.013737841575,0.71659375,"erp_differential_object_marking_400_900_midline_itemslope"
"z_recoded_caudality",0.028789437,0.0180729267,0.0395415673,1,"erp_differential_object_marking_400_900_midline_itemslope"
"z_multilingual_language_diversity",0.00506729745,-0.00805828521749999,0.0186277027,0.77384375,"erp_differential_object_marking_400_900_midline_itemslope"
"z_recoded_grammaticality:z_recoded_session",-0.0016973237,-0.0133180667,0.00996187249999999,0.610625,"erp_differential_object_marking_400_900_midline_itemslope"
"z_recoded_grammaticality:z_recoded_mini_language",0.022216878,-0.0087813134475,0.05296943555,0.921375,"erp_differential_object_marking_400_900_midline_itemslope"
"z_recoded_session:z_recoded_mini_language",-0.0095223756,-0.045040139525,0.0265574198,0.69859375,"erp_differential_object_marking_400_900_midline_itemslope"
